indicators_code,frequency,factor_version
F0595897,daily,V1.0
ATRH1Y0D,daily,V1.0
N0909001,daily,V1.0
N0910001,daily,V1.0
N1105001,daily,V1.0
N1108001,daily,V1.0
N1110001,daily,V1.0
N1205001,daily,V1.0
N1208001,daily,V1.0
F3117461,daily,V1.0
N1210001,daily,V1.0
N1305001,daily,V1.0
N1307001,daily,V1.0
N1308001,daily,V1.0
N1309001,daily,V1.0
N1310001,daily,V1.0
N1405001,daily,V1.0
N1407001,daily,V1.0
N1408001,daily,V1.0
N1409001,daily,V1.0
FM500001,daily,V1.0
N1410001,daily,V1.0
N1505001,daily,V1.0
N1508001,daily,V1.0
N1510001,daily,V1.0
N1605001,daily,V1.0
N1608001,daily,V1.0
N1610001,daily,V1.0
FS000001,daily,V1.0
N1805001,daily,V1.0
N1807001,daily,V1.0
N1808001,daily,V1.0
N1809001,daily,V1.0
N1810001,daily,V1.0
N1811001,daily,V1.0
N1812001,daily,V1.0
N1905001,daily,V1.0
N1907001,daily,V1.0
G0000883,daily,V1.0
N1908001,daily,V1.0
N1909001,daily,V1.0
N1910001,daily,V1.0
N2005001,daily,V1.0
N2007001,daily,V1.0
N2008001,daily,V1.0
N2009001,daily,V1.0
N2010001,daily,V1.0
N2101001,daily,V1.0
N2102001,daily,V1.0
G0000884,daily,V1.0
N2103001,daily,V1.0
N2104001,daily,V1.0
N2105001,daily,V1.0
N2405001,daily,V1.0
G0000886,daily,V1.0
N2407001,daily,V1.0
N2408001,daily,V1.0
N2409001,daily,V1.0
N2410001,daily,V1.0
N2505001,daily,V1.0
N2507001,daily,V1.0
N2508001,daily,V1.0
N2509001,daily,V1.0
N2510001,daily,V1.0
N2605001,daily,V1.0
G0000887,daily,V1.0
N2607001,daily,V1.0
N2608001,daily,V1.0
N2609001,daily,V1.0
N2610001,daily,V1.0
N2705001,daily,V1.0
N2707001,daily,V1.0
N2708001,daily,V1.0
N2709001,daily,V1.0
N2710001,daily,V1.0
N2805001,daily,V1.0
G0000888,daily,V1.0
N2807001,daily,V1.0
N2808001,daily,V1.0
N2809001,daily,V1.0
N2810001,daily,V1.0
N2905001,daily,V1.0
N2907001,daily,V1.0
G0000889,daily,V1.0
G0000890,daily,V1.0
G0000891,daily,V1.0
G0000893,daily,V1.0
G0001672,daily,V1.0
G0001673,daily,V1.0
G0001677,daily,V1.0
G0005428,daily,V1.0
ATRH5Y0D,daily,V1.0
TB3YWI0C,daily,V1.0
TB7YWI0C,daily,V1.0
AUSHF00O,daily,V1.0
IFCFE00C,daily,V1.0
IFCFE00O,daily,V1.0
G1147399,daily,V1.0
G1235664,daily,V1.0
GCCMX01S,daily,V1.0
H6880723,daily,V1.0
AUSHF00C,daily,V1.0
H8357500,daily,V1.0
HCSHF01C,daily,V1.0
IDCE001C,daily,V1.0
J10Y000D,daily,V1.0
J1547601,daily,V1.0
J1Y0000D,daily,V1.0
J5Y0000D,daily,V1.0
A4087688,daily,V1.0
AUUIDC0C,daily,V1.0
J9760873,daily,V1.0
JDCE001C,daily,V1.0
JE10Y00D,daily,V1.0
JE1Y000D,daily,V1.0
JE5Y000D,daily,V1.0
JMDCE01C,daily,V1.0
K10Y000D,daily,V1.0
K1Y0000D,daily,V1.0
K5Y0000D,daily,V1.0
KDJ010YD,daily,V1.0
BBI10Y0D,daily,V1.0
KDJ01Y0D,daily,V1.0
KDJ05Y0D,daily,V1.0
L8410484,daily,V1.0
M0000185,daily,V1.0
BBI1Y00D,daily,V1.0
M0017138,daily,V1.0
M0017139,daily,V1.0
M0017141,daily,V1.0
M0017142,daily,V1.0
M0017145,daily,V1.0
M0017153,daily,V1.0
M0020188,daily,V1.0
M0020195,daily,V1.0
M0020202,daily,V1.0
M0020209,daily,V1.0
M0020216,daily,V1.0
M0020223,daily,V1.0
M0020251,daily,V1.0
BBI5Y00D,daily,V1.0
M0041371,daily,V1.0
M0041372,daily,V1.0
M0041739,daily,V1.0
M0048432,daily,V1.0
M0048435,daily,V1.0
M0048437,daily,V1.0
BBIB10YD,daily,V1.0
M0062531,daily,V1.0
