indicators_code,frequency,factor_version
ZY000126,weekly,V1.0
G0100883,weekly,V1.0
ZY000127,weekly,V1.0
ZO000001,weekly,V1.0
ZO000003,weekly,V1.0
ZO000004,weekly,V1.0
ZO000005,weekly,V1.0
ZO000006,weekly,V1.0
ZO000007,weekly,V1.0
ZO000008,weekly,V1.0
ZO000009,weekly,V1.0
G0100884,weekly,V1.0
ZO000010,weekly,V1.0
ZO000011,weekly,V1.0
ZO000012,weekly,V1.0
ZO000013,weekly,V1.0
ZO000014,weekly,V1.0
ZO000015,weekly,V1.0
ZO000016,weekly,V1.0
ZO000017,weekly,V1.0
ZO000018,weekly,V1.0
ZO000019,weekly,V1.0
G0100886,weekly,V1.0
ZO000025,weekly,V1.0
ZO000026,weekly,V1.0
ZO000027,weekly,V1.0
ZO000028,weekly,V1.0
ZO000029,weekly,V1.0
G0100887,weekly,V1.0
ZO000030,weekly,V1.0
ZO000031,weekly,V1.0
ZO000032,weekly,V1.0
ZO000033,weekly,V1.0
ZO000034,weekly,V1.0
ZO000035,weekly,V1.0
ZO000036,weekly,V1.0
ZO000037,weekly,V1.0
ZO000038,weekly,V1.0
ZO000039,weekly,V1.0
G0100888,weekly,V1.0
ZF000001,weekly,V1.0
ZF000002,weekly,V1.0
ZF000003,weekly,V1.0
ZF000004,weekly,V1.0
G0100889,weekly,V1.0
TB1YWI3C,weekly,V1.0
TB5YWI3C,weekly,V1.0
TB0YWI3C,weekly,V1.0
TB3YWI3C,weekly,V1.0
TB7YWI3C,weekly,V1.0
G0100891,weekly,V1.0
WC000001,weekly,V1.0
WC000002,weekly,V1.0
WC000003,weekly,V1.0
WC000004,weekly,V1.0
WC000005,weekly,V1.0
G0100893,weekly,V1.0
G0200883,weekly,V1.0
G0200884,weekly,V1.0
G0200886,weekly,V1.0
G0200887,weekly,V1.0
G0200888,weekly,V1.0
ATRH5Y0W,weekly,V1.0
G0200889,weekly,V1.0
G0200891,weekly,V1.0
G0200893,weekly,V1.0
J10Y000W,weekly,V1.0
J1Y0000W,weekly,V1.0
J5Y0000W,weekly,V1.0
JE10Y00W,weekly,V1.0
JE1Y000W,weekly,V1.0
JE5Y000W,weekly,V1.0
K10Y000W,weekly,V1.0
K1Y0000W,weekly,V1.0
K5Y0000W,weekly,V1.0
KDJ010YW,weekly,V1.0
KDJ01Y0W,weekly,V1.0
KDJ05Y0W,weekly,V1.0
L0139791,weekly,V1.0
L0147566,weekly,V1.0
BBI10Y0W,weekly,V1.0
BBI1Y00W,weekly,V1.0
BBI5Y00W,weekly,V1.0
M0061614,weekly,V1.0
BBIB10YW,weekly,V1.0
M0062600,weekly,V1.0
M0117142,weekly,V1.0
M0120188,weekly,V1.0
M0120195,weekly,V1.0
M0120202,weekly,V1.0
M0120216,weekly,V1.0
BBIB1Y0W,weekly,V1.0
M0120223,weekly,V1.0
M0141371,weekly,V1.0
M0141739,weekly,V1.0
M0161673,weekly,V1.0
M0161674,weekly,V1.0
M0161675,weekly,V1.0
M0161676,weekly,V1.0
M0161677,weekly,V1.0
M0161678,weekly,V1.0
M0161679,weekly,V1.0
M0161680,weekly,V1.0
M0161681,weekly,V1.0
M0161682,weekly,V1.0
BBIB5Y0W,weekly,V1.0
M0161683,weekly,V1.0
M0161684,weekly,V1.0
M0161685,weekly,V1.0
M0161686,weekly,V1.0
M0161687,weekly,V1.0
M0161688,weekly,V1.0
M0162541,weekly,V1.0
M0196870,weekly,V1.0
M0200612,weekly,V1.0
M0201385,weekly,V1.0
M0217126,weekly,V1.0
M0217142,weekly,V1.0
M0220188,weekly,V1.0
M0220195,weekly,V1.0
M0220202,weekly,V1.0
M0220216,weekly,V1.0
BIAS10YW,weekly,V1.0
M0220223,weekly,V1.0
M0241371,weekly,V1.0
M0241739,weekly,V1.0
M0243821,weekly,V1.0
M0261518,weekly,V1.0
M0262541,weekly,V1.0
M0309973,weekly,V1.0
BIAS1Y0W,weekly,V1.0
M0517126,weekly,V1.0
M0817126,weekly,V1.0
BIAS5Y0W,weekly,V1.0
M1001795,weekly,V1.0
BIASB0YW,weekly,V1.0
M1011654,weekly,V1.0
M1014902,weekly,V1.0
M1021654,weekly,V1.0
M1024902,weekly,V1.0
M1148909,weekly,V1.0
M1331593,weekly,V1.0
M1331594,weekly,V1.0
M1332208,weekly,V1.0
M1342074,weekly,V1.0
BIASB1YW,weekly,V1.0
M1543249,weekly,V1.0
M2332208,weekly,V1.0
M2341115,weekly,V1.0
M2342074,weekly,V1.0
M2525763,weekly,V1.0
M5226731,weekly,V1.0
MACD10YW,weekly,V1.0
MACD1Y0W,weekly,V1.0
BIASB5YW,weekly,V1.0
MACD5Y0W,weekly,V1.0
MACDC0YW,weekly,V1.0
MACDC1YW,weekly,V1.0
MACDC5YW,weekly,V1.0
MACDD0YW,weekly,V1.0
C1925068,weekly,V1.0
MACDD1YW,weekly,V1.0
MACDD5YW,weekly,V1.0
MACDG0YW,weekly,V1.0
MACDG1YW,weekly,V1.0
MACDG5YW,weekly,V1.0
N0191645,weekly,V1.0
N0291645,weekly,V1.0
R0119018,weekly,V1.0
RSI010YW,weekly,V1.0
RSI01Y0W,weekly,V1.0
RSI05Y0W,weekly,V1.0
RSI10Y0W,weekly,V1.0
RSI1Y00W,weekly,V1.0
RSI5Y00W,weekly,V1.0
RSI710YW,weekly,V1.0
RSI71Y0W,weekly,V1.0
RSI75Y0W,weekly,V1.0
RSIB10YW,weekly,V1.0
RSIB1Y0W,weekly,V1.0
RSIB5Y0W,weekly,V1.0
RSV10Y0W,weekly,V1.0
RSV1Y00W,weekly,V1.0
RSV5Y00W,weekly,V1.0
S0000070,weekly,V1.0
CCI10Y0W,weekly,V1.0
S0000071,weekly,V1.0
CCI1Y00W,weekly,V1.0
CCI5Y00W,weekly,V1.0
CCIT10YW,weekly,V1.0
S0110142,weekly,V1.0
S0110143,weekly,V1.0
S0110144,weekly,V1.0
S0110145,weekly,V1.0
S0110152,weekly,V1.0
S0110153,weekly,V1.0
S0158620,weekly,V1.0
S0158634,weekly,V1.0
S0167711,weekly,V1.0
S0167795,weekly,V1.0
S0167796,weekly,V1.0
CCIT1Y0W,weekly,V1.0
S0179664,weekly,V1.0
S0180497,weekly,V1.0
S0181750,weekly,V1.0
S0237843,weekly,V1.0
S0237844,weekly,V1.0
S0237847,weekly,V1.0
S0247603,weekly,V1.0
S0265883,weekly,V1.0
CCIT5Y0W,weekly,V1.0
S2726991,weekly,V1.0
S2726992,weekly,V1.0
S2726993,weekly,V1.0
S2726994,weekly,V1.0
S2726995,weekly,V1.0
S2726996,weekly,V1.0
S2726997,weekly,V1.0
S2727003,weekly,V1.0
S2727009,weekly,V1.0
S2727015,weekly,V1.0
S2727021,weekly,V1.0
S2727027,weekly,V1.0
S2727033,weekly,V1.0
S2727036,weekly,V1.0
S2727039,weekly,V1.0
S2727042,weekly,V1.0
S2727045,weekly,V1.0
S2727048,weekly,V1.0
S2733049,weekly,V1.0
S2772558,weekly,V1.0
S5021680,weekly,V1.0
S5021682,weekly,V1.0
S5021695,weekly,V1.0
S5021697,weekly,V1.0
S5021733,weekly,V1.0
S5021748,weekly,V1.0
S5125686,weekly,V1.0
S5133383,weekly,V1.0
S5133384,weekly,V1.0
S5133385,weekly,V1.0
S5133386,weekly,V1.0
S5133387,weekly,V1.0
S5133388,weekly,V1.0
S5133392,weekly,V1.0
S5133393,weekly,V1.0
S5133394,weekly,V1.0
S5133400,weekly,V1.0
S5133401,weekly,V1.0
S5133409,weekly,V1.0
S5133410,weekly,V1.0
S5133411,weekly,V1.0
S5133418,weekly,V1.0
S5133852,weekly,V1.0
S5133868,weekly,V1.0
S5133884,weekly,V1.0
CSI26902,weekly,V1.0
S5134688,weekly,V1.0
S5134689,weekly,V1.0
S5134691,weekly,V1.0
CSI26903,weekly,V1.0
S5440888,weekly,V1.0
S5440890,weekly,V1.0
S5440892,weekly,V1.0
S5440915,weekly,V1.0
S5441626,weekly,V1.0
S5441642,weekly,V1.0
S5441787,weekly,V1.0
S5441857,weekly,V1.0
S5441858,weekly,V1.0
S5441906,weekly,V1.0
S5442122,weekly,V1.0
S5442123,weekly,V1.0
S5442124,weekly,V1.0
S5442127,weekly,V1.0
S5442128,weekly,V1.0
S5442129,weekly,V1.0
S5442130,weekly,V1.0
S5442131,weekly,V1.0
S5442372,weekly,V1.0
CSI39502,weekly,V1.0
S5442385,weekly,V1.0
S5444096,weekly,V1.0
S5444097,weekly,V1.0
S5444100,weekly,V1.0
S5444140,weekly,V1.0
S5444186,weekly,V1.0
S5444189,weekly,V1.0
S5444190,weekly,V1.0
S5444191,weekly,V1.0
CSI39503,weekly,V1.0
S5446148,weekly,V1.0
S5446171,weekly,V1.0
S5449386,weekly,V1.0
S5458282,weekly,V1.0
S5458284,weekly,V1.0
S5458285,weekly,V1.0
S5458286,weekly,V1.0
S5458287,weekly,V1.0
S5469763,weekly,V1.0
S5470009,weekly,V1.0
S5470029,weekly,V1.0
S5470116,weekly,V1.0
S5470117,weekly,V1.0
S5470118,weekly,V1.0
S5470119,weekly,V1.0
S5470120,weekly,V1.0
CSI90402,weekly,V1.0
CSI90403,weekly,V1.0
ATR10Y0W,weekly,V1.0
CSI93202,weekly,V1.0
CSI93203,weekly,V1.0
S5471262,weekly,V1.0
S5474446,weekly,V1.0
S5475752,weekly,V1.0
CSI98502,weekly,V1.0
S5475754,weekly,V1.0
S5475756,weekly,V1.0
S5475759,weekly,V1.0
S5475834,weekly,V1.0
S5475847,weekly,V1.0
S5475850,weekly,V1.0
S5479502,weekly,V1.0
S5479503,weekly,V1.0
S5479504,weekly,V1.0
S5479505,weekly,V1.0
CSI98503,weekly,V1.0
S5479506,weekly,V1.0
S5479784,weekly,V1.0
S5479786,weekly,V1.0
S5705131,weekly,V1.0
S5713191,weekly,V1.0
S5713286,weekly,V1.0
S5713327,weekly,V1.0
S5713338,weekly,V1.0
S5715650,weekly,V1.0
S5715670,weekly,V1.0
S5715671,weekly,V1.0
S5716616,weekly,V1.0
S5811163,weekly,V1.0
S5811172,weekly,V1.0
S5811176,weekly,V1.0
S5811181,weekly,V1.0
S5912470,weekly,V1.0
S5912471,weekly,V1.0
S5912472,weekly,V1.0
S5912473,weekly,V1.0
S5912474,weekly,V1.0
S5912476,weekly,V1.0
S6940315,weekly,V1.0
S6949751,weekly,V1.0
S6949777,weekly,V1.0
S6955340,weekly,V1.0
TB3YWI1C,weekly,V1.0
TB7YWI1C,weekly,V1.0
SH001702,weekly,V1.0
SH001703,weekly,V1.0
SH004702,weekly,V1.0
SH004703,weekly,V1.0
SH013202,weekly,V1.0
SH013203,weekly,V1.0
SH013302,weekly,V1.0
SH013303,weekly,V1.0
SH069802,weekly,V1.0
SH069803,weekly,V1.0
SH069902,weekly,V1.0
SH069903,weekly,V1.0
D10Y000W,weekly,V1.0
D1Y0000W,weekly,V1.0
D5Y0000W,weekly,V1.0
T0127623,weekly,V1.0
V6384553,monthly,V1.0
X5100205,monthly,V1.0
X9143265,monthly,V1.0
Y0910594,monthly,V1.0
K1849787,monthly,V1.0
B1749047,monthly,V1.0
D8698862,monthly,V1.0
G0900691,monthly,V1.0
G1060820,monthly,V1.0
G1060892,monthly,V1.0
G0122156,monthly,V1.0
G2036054,monthly,V1.0
S0106010,monthly,V1.0
S5105044,monthly,V1.0
S5105035,monthly,V1.0
M0332318,monthly,V1.0
G0004041,monthly,V1.0
G1254021,monthly,V1.0
90000005,monthly,V1.0
90000006,monthly,V1.0
90000015,monthly,V1.0
G1000116,monthly,V1.0
G1010116,monthly,V1.0
G1020116,monthly,V1.0
M0000545,monthly,V1.0
M0000605,monthly,V1.0
M0000610,monthly,V1.0
M0000612,monthly,V1.0
M0001227,monthly,V1.0
M0001383,monthly,V1.0
M0001385,monthly,V1.0
M0001428,monthly,V1.0
M0009970,monthly,V1.0
M0009973,monthly,V1.0
M0010039,monthly,V1.0
M0010040,monthly,V1.0
M0017126,monthly,V1.0
M0043821,monthly,V1.0
M0043823,monthly,V1.0
M0043829,monthly,V1.0
M0061518,monthly,V1.0
M0061571,monthly,V1.0
M0061675,monthly,V1.0
M0061676,monthly,V1.0
M0061677,monthly,V1.0
M0061678,monthly,V1.0
M0061679,monthly,V1.0
M0061680,monthly,V1.0
M0061681,monthly,V1.0
M0061682,monthly,V1.0
M0061683,monthly,V1.0
M0061684,monthly,V1.0
M0061685,monthly,V1.0
M0061688,monthly,V1.0
M0096870,monthly,V1.0
M0100610,monthly,V1.0
M0110039,monthly,V1.0
M0110040,monthly,V1.0
M0141340,monthly,V1.0
M0141341,monthly,V1.0
M0141342,monthly,V1.0
M0143823,monthly,V1.0
M0148909,monthly,V1.0
M0200610,monthly,V1.0
M0209973,monthly,V1.0
M0210039,monthly,V1.0
M0210040,monthly,V1.0
M0241340,monthly,V1.0
M0241341,monthly,V1.0
M0241342,monthly,V1.0
M0317126,monthly,V1.0
M0331299,monthly,V1.0
M0331593,monthly,V1.0
M0341115,monthly,V1.0
M0341340,monthly,V1.0
M0341341,monthly,V1.0
M0341342,monthly,V1.0
M0409973,monthly,V1.0
M0509973,monthly,V1.0
M0617126,monthly,V1.0
M1786900,monthly,V1.0
M2786900,monthly,V1.0
M3786900,monthly,V1.0
M5206731,monthly,V1.0
M5440435,monthly,V1.0
M5525763,monthly,V1.0
M5786900,monthly,V1.0
S0029657,monthly,V1.0
S0029658,monthly,V1.0
S0073123,monthly,V1.0
S0105711,monthly,V1.0
S0107396,monthly,V1.0
S0123820,monthly,V1.0
S0129658,monthly,V1.0
S0172536,monthly,V1.0
S0172558,monthly,V1.0
S0173088,monthly,V1.0
S0207396,monthly,V1.0
S0223820,monthly,V1.0
S0229658,monthly,V1.0
S0252701,monthly,V1.0
S0252702,monthly,V1.0
S0252703,monthly,V1.0
S0272536,monthly,V1.0
S0272558,monthly,V1.0
S0273088,monthly,V1.0
S0307396,monthly,V1.0
S0323820,monthly,V1.0
S0329658,monthly,V1.0
S0372536,monthly,V1.0
S2707396,monthly,V1.0
S2707412,monthly,V1.0
S2707426,monthly,V1.0
S2772514,monthly,V1.0
S2772536,monthly,V1.0
S6114596,monthly,V1.0
S6114616,monthly,V1.0
S6425149,monthly,V1.0
S6425150,monthly,V1.0
S6425151,monthly,V1.0
S6623820,monthly,V1.0
T2627623,monthly,V1.0
M0041340,monthly,V1.0
M0041341,monthly,V1.0
M0041342,monthly,V1.0
